,Ticker,Company_Name,Description,Telephone,Address,Key_Execs_Name,Key_Execs_Title,Web_URL
0,CFG,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc. operates as the bank holding company for Citizens Bank, National Association and Citizens Bank of Pennsylvania that provides retail and commercial banking products and services in the United States. The company operates in two segments, Consumer Banking and Commercial Banking. The Consumer Banking segment offers traditional banking products and services, including checking and savings accounts, home and education loans, credit cards, business loans, mortgage and home equity lending, and unsecured product finance and personal loans, as well as wealth management and investment services to retail customers and small businesses. This segment also provides indirect auto finance for new and used vehicles through auto dealerships. The Commercial Banking segment offers various financial products and solutions, such as loans and leasing, trade finance, deposit and treasury management, cash management, and foreign exchange and interest rate risk management solutions; and corporate finance, merger and acquisition, and debt and equity capital markets capabilities. It serves government banking, not-for-profit, healthcare, technology, professionals, oil and gas, asset finance, franchise finance, asset-based lending, commercial real estate, private equity, and sponsor finance industries. Citizens Financial Group, Inc. operates approximately 1,100 branches and 2,900 ATMs in 11 states in the New England, Mid-Atlantic, and Midwest regions, as well as through online, telephone, and mobile banking services; and maintains approximately 140 retail and commercial non-branch offices in its banking footprint and in other states, and the District of Columbia. The company was formerly known as RBS Citizens Financial Group, Inc. and changed its name to Citizens Financial Group, Inc. in April 2014. Citizens Financial Group, Inc. was founded in 1828 and is headquartered in Providence, Rhode Island.",4014567000,"One Citizens PlazaProvidence, RI 02903",Mr. Bruce W. Van Saun,"Chairman, Pres & CEO",http://www.citizensbank.com
1,MS,Morgan Stanley,"Morgan Stanley, a financial holding company, provides various financial products and services to corporations, governments, financial institutions, and individuals in the Americas, Europe, the Middle East, Africa, and Asia. The company operates through Institutional Securities, Wealth Management, and Investment Management segments. The Institutional Securities segment offers capital raising and financial advisory services, including services related to the underwriting of debt, equity, and other securities, as well as advice on mergers and acquisitions, restructurings, real estate, and project finance. This segment also provides sales and trading services, such as sales, financing, prime brokerage, and market-making services in equity and fixed income products consisting of foreign exchange and commodities; corporate loans, commercial mortgage lending, and asset-backed lending; financing for sales and trading customers; and investment and research services. The Wealth Management segment offers various financial services and solutions covering brokerage and investment advisory services, financial and wealth planning services, annuity and insurance products, securities-based lending, residential real estate loans and other lending products, and banking and retirement plan services to individual investors and small to medium-sized businesses and institutions. The Investment Management segment provides various investment strategies and products comprising equity, fixed income, liquidity, and alternative/other products to defined benefit/defined contribution plans, foundations, endowments, government entities, sovereign wealth funds, insurance companies, and third-party fund sponsors and corporations through a network of institutional and intermediary channels. Morgan Stanley was founded in 1924 and is headquartered in New York, New York.",2127614000,"1585 BroadwayNew York, NY 10036",Mr. James Patrick Gorman,Chairman & CEO,http://www.morganstanley.com
2,JPM,JPMorgan Chase & Co.,"JPMorgan Chase & Co. operates as a financial services company worldwide. It operates in four segments: Consumer & Community Banking (CCB), Corporate & Investment Bank (CIB), Commercial Banking (CB), and Asset & Wealth Management (AWM). The CCB segment offers deposit and investment products and services to consumers; lending, deposit, and cash management and payment solutions to small businesses; mortgage origination and servicing activities; residential mortgages and home equity loans; and credit card, payment processing, auto loan, and leasing services. The CIB segment provides investment banking products and services, including corporate strategy and structure advisory, and equity and debt markets capital-raising services, as well as loan origination and syndication; cash management and liquidity solutions; and cash securities and derivative instruments, risk management solutions, prime brokerage, and research. This segment also offers securities services, including custody, fund accounting and administration, and securities lending products for asset managers, insurance companies, and public and private investment funds. The CB segment provides financial solutions, including lending, treasury, investment banking, and asset management to corporations, municipalities, financial institutions, and nonprofit entities, as well as financing to real estate investors and owners. The AWM segment offers investment and wealth management services across equities, fixed income, alternatives, and money market fund asset classes; multi-asset investment management services; retirement products and services; and brokerage and banking services. The company also provides ATM, digital covering online and mobile, and telephone banking services. JPMorgan Chase & Co. has a strategic partnership with StatPro Group plc to develop a multi-asset portfolio analytics solution for asset managers. The company was founded in 1799 and is headquartered in New York, New York.",2122706000,"270 Park AvenueNew York, NY 10017-2070",Mr. James  Dimon,Chairman & CEO,http://www.jpmorganchase.com
3,GS,"The Goldman Sachs Group, Inc.","The Goldman Sachs Group, Inc. operates as an investment banking, securities, and investment management company worldwide. It operates in four segments: Investment Banking, Institutional Client Services, Investing & Lending, and Investment Management. The Investment Banking segment provides financial advisory services, including strategic advisory assignments related to mergers and acquisitions, divestitures, corporate defense activities, restructurings, spin-offs, and risk management; and underwriting services, such as debt and equity underwriting of public offerings and private placements of various securities and other financial instruments, as well as derivative transactions with public and private sector clients. The Institutional Client Services segment is involved in client execution activities related to making markets in cash and derivative instruments for interest rate products, credit products, mortgages, currencies, commodities, and equities; and provision of securities services comprising financing, securities lending, and other brokerage services, as well as the marketing and clearing of client transactions on various stock, options, and futures exchanges. The Investing & Lending segment invests in and originates longer-term loans; and makes investments in debt securities and loans, public and private equity securities, and infrastructure and real estate entities, as well as provides unsecured and secured loans through its digital platforms. The Investment Management segment offers investment management services; and wealth advisory services consisting of portfolio management, financial planning and counseling, and brokerage and other transaction services. The company serves corporations, financial institutions, governments, and individuals. The Goldman Sachs Group, Inc. was founded in 1869 and is headquartered in New York, New York.",2129021000,"200 West StreetNew York, NY 10282",Mr. David Michael Solomon,Chairman & CEO,http://www.goldmansachs.com
4,PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc. operates as a technology platform and digital payments company that enables digital and mobile payments on behalf of consumers and merchants worldwide. Its payment solutions include PayPal, PayPal Credit, Braintree, Venmo, Xoom, and iZettle products. The company's Payments Platform allows consumers to send payments, withdraw funds to their bank accounts, and hold balances in their PayPal accounts in various currencies. It also offers gateway services that enable merchants to accept payments online with credit or debit cards. PayPal Holdings, Inc. was founded in 1998 and is headquartered in San Jose, California.",4089671000,"2211 North First StreetSan Jose, CA 95131",Mr. Daniel H. Schulman,"Pres, CEO & Director",http://www.paypal.com
5,TD,The Toronto-Dominion Bank,"The Toronto-Dominion Bank, together with its subsidiaries, provides various personal and commercial banking products and services in Canada and the United States. The company operates through three segments: Canadian Retail, U.S. Retail, and Wholesale Banking. It offers personal deposits, such as checking, savings, and investment products; financing, investment, cash management, international trade, and day-to-day banking services to businesses; financing options to customers at point of sale for automotive and recreational vehicle purchases through auto dealer network; credit cards; investing, advice-based, and asset management services to retail and institutional clients; and property and casualty insurance, as well as life and health insurance products. The company also provides capital markets, and corporate and investment banking services, including underwriting and distribution of new debt and equity issues; providing advice on strategic acquisitions and divestitures; and trading, funding, and investment services to companies, governments, and institutions, as well as automated teller machines, telephone, Internet, and mobile banking services. The company offers its products and services under the TD Bank, America's Most Convenient Bank, and TD Securities brand names. It offers personal and business banking products and services through a network of 1,098 branches and 3,394 automated teller machines in Canada; and through a network of 1,257 stores. The Toronto-Dominion Bank was founded in 1855 and is headquartered in Toronto, Canada.",4163086963,Toronto-Dominion CentreKing Street West and Bay Street PO Box 1,Mr. Bharat B. Masrani,"Group Pres, CEO & Director",http://www.td.com
6,BMO,Bank of Montreal,"Bank of Montreal provides diversified financial services primarily in North America. It operates through three groups: Personal and Commercial Banking, Wealth Management, and BMO Capital Markets. The company's personal banking products and services include checking and savings accounts, credit cards, mortgages, and financial and investment advice services; and commercial banking products and services comprise business deposit accounts, commercial credit cards, business loans and commercial mortgages, cash management solutions, foreign exchange, and specialized banking programs for small business and commercial banking customers, as well as wealth management products and services, such as insurance products. It also offers equity and debt underwriting, corporate lending and project financing, mergers and acquisitions advisory services, securitization, treasury management, risk management, equity and fixed income research, and institutional sales and trading services to corporate, institutional, and government clients. In addition, the company offers trade finance, investment management, online investing, trust and estate services, tax planning, and investment solutions to institutional investors, as well as industry-leading research, sales, and trading services. It operates approximately 1,500 branches in Canada and the United States, as well as offices in 27 jurisdictions. The company was founded in 1817 and is headquartered in Montreal, Canada.",8772255266,"129 rue Saint JacquesMontreal, QC H2Y 1L6",Mr. William Darryl White,CEO & Director,http://www.bmo.com
7,BNS,The Bank of Nova Scotia,"The Bank of Nova Scotia provides various banking products and services in North America, Latin America, the Caribbean and Central America, and the Asia-Pacific. The company offers financial advice and solutions, and day-to-day banking products, including debit and credit cards, chequing and saving accounts, investments, mortgages, loans, and related creditor insurance to individuals and small businesses; and commercial banking solutions comprising lending, deposit, cash management, and trade finance solutions to medium and large businesses, including automotive dealers and their customers. It is also involved in the provision of investment and wealth management advice, services, products, and solutions to customers and advisors; wealth management solutions, such as private customer, online brokerage, full-service brokerage, pension, and institutional customer services, as well as asset management business focusing on developing investment solutions for retail and institutional investors; and international banking services for retail, corporate, and commercial customers. In addition, the company offers corporate lending; trade finance and cash management; investment banking services, including corporate finance, and mergers and acquisitions; fixed income and equity underwriting, sales, trading, and research services; prime brokerage and stock lending services; foreign exchange sales and trading services; commodity derivatives sales and trading; and collateral management services for corporate, government, and institutional investor clients. Further, it provides Internet, mobile, and telephone banking services. The company operates a network of 955 branches and approximately 3,644 automated banking machines in Canada; and approximately 1,800 branches internationally, as well as contact and business support centers. The Bank of Nova Scotia was founded in 1832 and is headquartered in Toronto, Canada.",4168666161,Scotia Plaza44 King Street West,"Mr. Brian Johnston Porter B.Com., A.M.P.","Pres, CEO & Director",http://www.scotiabank.com
8,USB,U.S. Bancorp,"U.S. Bancorp, a financial services holding company, provides various financial services in the United States. It operates in five segments: Corporate and Commercial Banking, Consumer and Business Banking, Wealth Management and Investment Services, Payment Services, and Treasury and Corporate Support. The company offers depository services, including checking accounts, savings accounts, and time certificate contracts; and lending services, such as traditional credit products, as well as credit card services, lease financing and import/export trade, asset-backed lending, agricultural finance, and other products. It also provides ancillary services comprising capital markets, treasury management, and receivable lock-box collection services to corporate customers; and a range of asset management and fiduciary services for individuals, estates, foundations, business corporations, and charitable organizations. In addition, the company offers investment and insurance products to its customers principally within its markets, as well as fund administration services to a range of mutual and other funds. Further, it provides corporate and purchasing card, and corporate trust services; and merchant processing services, as well as cash and investment management, ATM processing, mortgage banking, and brokerage and leasing services. The company offers its products and services through operating a network of 3,018 banking offices principally operating in the Midwest and West regions of the United States, as well as through online services and over mobile devices. It also operates a network of 4,681 ATMs. The company was founded in 1863 and is headquartered in Minneapolis, Minnesota.",6514663000,"800 Nicollet MallMinneapolis, MN 55402",Mr. Andrew  Cecere,"Chairman, Pres & CEO",http://www.usbank.com
9,AXP,American Express Company,"American Express Company, together with its subsidiaries, provides charge and credit payment card products, and travel-related services to consumers and businesses worldwide. It operates through three segments: Global Consumer Services Group, Global Commercial Services, and Global Merchant and Network Services. The company's products and services include charge and credit card products, as well as other payment and financing products; network services; expense management products and services; travel-related services; and prepaid products. Its products and services also comprise merchant acquisition and processing, servicing and settlement, point-of-sale marketing, and information products and services for merchants; and fraud prevention services, as well as the design and operation of customer loyalty programs. The company sells its products and services to consumers, small businesses, mid-sized companies, and large corporations through online and mobile applications, third-party vendors and business partners, direct mail, telephone, in-house teams, and direct response advertising. American Express Company was founded in 1850 and is headquartered in New York, New York.",2126402000,200 Vesey StreetLower Manhattan,Mr. Stephen Joseph Squeri,Chairman & CEO,http://www.americanexpress.com
