,Tweets,Following,Followers,Likes,Company,Handle,Articles1,Articles2,Articles3,Articles4,Articles5
0,28.5K,22.5K,125,"8,344",Citizens Bank,@Citizens Bank,"Don’t let your tiny apartment keep you from living your outdoor dreams. Check out this guide to storing #outdoorequipment, so you can be prepared for the outdoors and still get your safety deposit back.","If you’re H A P P Y and you know it, raise your hand!  And if you have a best friend to thank for it, give them a shout out below! 
@wearehappyplacepic.twitter.com/Rrci82ah68",Summer means spending time by the water. What’s your favorite #wateractivity?,Look for us at Gillette Stadium during the @GeorgeStrait on August 17! We’ll be there with @CitizensBank presenting the ceremonial key to a mortgage-free home to one of our heroes.#HelpingHeroes #GeorgeStrait #Veteranspic.twitter.com/gfpqqbP0bp,Learn about the true cost of owning a car – it goes beyond just the #stickerprice. 
1,"8,323",523K,217,10,Morgan Stanley,@Morgan Stanley,"On this Thoughts on the Market episode, Chief Investment Officer Mike Wilson weighs what the market reaction may be to Wednesday’s potential Fed rate cut. https://mgstn.ly/32XeJBH pic.twitter.com/twalkoJRUw","Nailing down your value proposition, mission statement and values is critical for anyone launching a startup. #MCIL https://mgstn.ly/334FGU7 pic.twitter.com/CqLOVzCgGR",Learn more about Mia's journey at our firm: https://mgstn.ly/330Nlmk pic.twitter.com/XSwxVh7mar,What is stock market telling us about the direction of the US economy? Andrew Slimmon shares his views. https://mgstn.ly/30SZQ17 pic.twitter.com/pgL67jwPdg,"“Keep your experience, training and network broad. When it comes to networking, reciprocation is key,” said Clare Woodman, Head of EMEA, during our first week activities welcoming new analysts to our London offices.
Learn about available opportunities: https://mgstn.ly/333sZJc pic.twitter.com/3tGIoIFlWA"
2,"6,727",471K,49,350,J.P. Morgan,@J.P. Morgan,"The future of food, explained.",Wireless #tech is moving way beyond high speed internet.,"After 11 years, this mother decided to restart her career.","Mix fitness with business: leaders from fast growing #startups talk to J.P. Morgan colleagues and clients at our latest Sweatworking event, hosted at @neoufitness in NYC.pic.twitter.com/Wl4eYVi5GZ","Today, the Greater Washington Partnership stands in support of Baltimore. We've have been working to develop solutions that continue to lift up Baltimore and the entire Capital Region. https://tinyurl.com/yy84tryj 
#StandForBaltimore #WeAreBaltimorepic.twitter.com/lqPXXENBZE"
3,11.4K,735K,106,5,Goldman Sachs,@Goldman Sachs,"LISTEN: How concerned should investors be about growth uncertainty and the Fed's response to it? Hear more from $GS' Chief Economist Jan Hatzius and @RayDalio in the latest ""Top of Mind at Goldman Sachs"" #podcast with the firm's Allison Nathan: https://click.gs.com/swzg pic.twitter.com/uwZbXZyCOC","VIDEO: A renaissance in the #music industry is leading to an uptick in transaction activity across sectors. $GS' Aaron Siegel explains why in our series, The Long & Short of It: https://click.gs.com/eyyk pic.twitter.com/F8M2ocmKnN","""It's about becoming the best person, becoming the best you."" @Shaquemgriffin discusses overcoming his limb difference and expanding inclusion in sports during a #TalksAtGS with GS' @grlemkau: https://click.gs.com/5e24 pic.twitter.com/UAxqMqgdpJ",#PODCAST: What’s next for Europe's real estate market? $GS' Jim Garman explains: https://click.gs.com/caap  #GSEuropepic.twitter.com/BwEjMQStT1,"Is this a good time for investors to get into Japanese stocks? $GS Japan Vice Chair @KathyMatsui discusses Japan’s equity market, economy and the BOJ.
https://click.gs.com/z57q pic.twitter.com/LC8TPakJSJ"
4,10.9K,596K,929,"7,985",PayPal,@PayPal,"Not sure if it's the right time to buy? With PayPal Credit, you can get six months of special financing on purchases of $99+ (subject to credit approval). #PayPalCanDoThat See terms: http://bit.ly/2x0w6CC pic.twitter.com/fwEXqwFT1m", “PayPal Q2 2019 Earnings” by @PayPalNewshttps://twitter.com/i/moments/1154156982250569729 …,"At the @AspenIdeas Festival, @PayPal CEO Dan Schulman joined @1A’s @jejohnson322 for a discussion about the digital disruption of the banking industry.http://bit.ly/2JyfdXh ","Listen to @MadMoneyOnCNBC host @jimcramer chatting with @PayPal CEO Dan Schulman about the importance of understanding your values, believing in yourself and harnessing the power of your inner voice to take a stand when it matters most.pic.twitter.com/shPS18b08h","On the latest episode of #NeverStandStill, $PYPL CEO Dan Schulman sat down with @MadMoneyOnCNBC host @JimCramer to discuss why it’s important to do work that you’re proud of and how Jim spots a “winner.” Full episode:https://www.youtube.com/watch?v=5CO3M195fDU&feature=youtu.be …"
5,84.6K,112K,15.5K,11.8K,TD (Canada),@TD (Canada),"Many of the women’s shelters in the area didn’t have the necessities for those in need, so owner of @RStudiosNS, Connie McInnes, rallied the community to help. Watch the full story: https://go.td.com/2YAGDA4  #TDThanksYoupic.twitter.com/8en11RVvHh","Looking for a way to gear up for #NLFolk43?? @TD_Canada Branch Youth Performances are happening all over town this Wednesday, Thursday, and Friday at 2:00 p.m.! Check out talented, local youth at TD Banks on Water Street, Elizabeth Ave, and Aberdeen Ave! pic.twitter.com/KJp5sVrWwq","As a dentist, Dr. Greg Chang saw firsthand that many childhood health issues could be resolved simply with a healthier diet. So, he founded @Super_Chefs and began helping create a healthier community, one kid at a time. Watch the full story: https://go.td.com/2JU4hmG  #TDThanksYoupic.twitter.com/Qrm1j8Lp4X",See how we’re thanking small businesses with big hearts. Watch More: https://go.td.com/2JTExqJ  #TDThanksYoupic.twitter.com/0jQUipbWcy,"For Customer Appreciation Day, we’d like to thank each and every TD customer for being at the heart of what we do. Here’s a quick message of appreciation from our CEO Bharat Masrani. https://go.td.com/2AmyMiL  #TDThanksYoupic.twitter.com/e9n8zIcQst"
6,41.8K,51.3K,136,"4,459",BMO,@BMO,"Today we’re proud to share our Purpose to #BoldlyGrowtheGood, in business and life. We’re committed to building a sustainable future, supporting thriving economies, and contributing towards an inclusive society. Learn more about our commitments at http://bmo.com/purpose .pic.twitter.com/4yujVtDLeq","We work to foster an environment where all employees feel included, supported, and celebrated. Our Head of Strategic Initiatives and Leadership, Paulette Jagers, touches on how we partner to promote disability inclusion.http://spr.ly/6017ELM1R ","Want to be at the center of an exciting career? Apply now for a role in our Montreal Customer Contact Centre to get an invite to our next career event, taking place Wednesday August 7. Qualified candidates will be contacted with an invitation to the event. http://spr.ly/6019EIwCh pic.twitter.com/aPCuBY87mm","In the next episode of the Sustainability Leaders podcast, hosts Manju Seal and Michael Torrance discuss industry trends and best practices from Canada on responsible investing. Listen to the full episode here: http://bmo.com/sustainabilityleaders … #sustainabilitypic.twitter.com/do3pujQd4F","Did you know BMO enterprise resource groups have over 6,000 members? @MonaMaloneBMO, Chief Human Resources Officer and Head People & Culture, shares 4 tips for organizations looking to support the creation of ERGs within the workplace: http://spr.ly/6019ELGu5  #BMOgrowthegoodpic.twitter.com/8e2es84Yxe"
7,"3,869",95.4K,261,"2,437",Scotiabank,@Scotiabank,Pilar Portela shares the story of how she became the CEO of her own tech company & advice for other entrepreneurs trying to realize their dreams. Check it out! #ScotiaSmallBiz,Dorm life doesn’t have to be drab! We’ve got ideas on how you can make your room your own without blowing your budget.,"From some of the best seafood to black pudding, this city has it all. Check out our guide to dining, sightseeing and more in Belfast.  

What’s your favourite travel destination?","New to investing? Check out this Mutual Funds 101 for the full breakdown on what they are, the benefits, understanding fees & more!",Have you heard of the Goldilocks effect? Our expert shares some tips on how to avoid it to help you shop with your best interest in mind.
8,22.5K,38K,"1,293","5,165",U.S. Bank,@U.S. Bank,We’ve taken some of the worry out of your summer with a collection of smart strategies and tips to up your financial game. https://usb.link/hdbk7  #FinancialIQ #smartspending,"In our latest podcast episode, 13-year-old @GirlsWhoCode club member Sophia Moracco shared #tfw she finished coding her first project. #GirlsInTech #CommunityPossible https://usb.link/3ktwl pic.twitter.com/Fm5UzQldce",Proud of this work....@usbank @GirlsWhoCode #GirlsinTech #CommunityPossible #podcasthttps://www.usbank.com/newsroom/stories/is-coding-the-new-keyboarding.html …,Don't let your vacation cause more worry than fun. Here are four strategies to help you stay within budget.https://usb.link/w7bzv ,The house hunting and #mortgage process can be an exciting time for first-time buyers. Learn about 3 important steps in this video. https://usb.link/pdvgm  #FinancialIQ
9,63.7K,876K,19.1K,35,American Express,@American Express,.@officialmoz & @Interpol are heading to the @HollywoodBowl on 10/26! Card Members get early access to tix before the general public using #AmexPresale now thru 8/1. Terms Apply. https://amex.co/2ZtTKUZ pic.twitter.com/cIV40y2z1j,"Card Members, get #AmexPresale tix to see @JourneyOfficial at The Colosseum at Ceasars in Las Vegas now thru 8/1! Terms Apply. http://www.journeymusic.com/pages/tour pic.twitter.com/Th1HQsLIiQ",We’ve teamed up with @AudienceRewards to give Card Members access to #AmexPresale tix now thru 9:59am on 8/5 to The Height of the Storm at @MTC_NYC: http://amex.co/2SEdfHF  Terms Applypic.twitter.com/lDA68eZaTW,"Get back to school ready and use 30% fewer Membership Rewards® points on all available @Apple MacBook Pro models, now through 8/2/19. Terms Apply. https://amex.co/2LJw9wj pic.twitter.com/w2iSM2JdiH",Ready for your own 5-day Weekend? Book your next vacation with your American Express Platinum Card® on #AmexTravel and earn 5X Points! Where will you go? Terms Apply. https://amex.co/2GtUmCq pic.twitter.com/r9CD4xZ0Gm
